,Country,ISO,Continent
1912,Yugoslavia,YUG,Europe
1919,Samoa,WSM,Oceania
1922,Wallis and Futuna,WLF,Oceania
1930,Congo (the Democratic Republic of the),COD,Africa
1966,Yemen P Dem Rep,YMD,Asia
1983,Zimbabwe,ZWE,Africa
1999,Zambia,ZMB,Africa
2085,Guinea,GIN,Africa
2094,Angola,AGO,Africa
2295,Germany Dem Rep,DDR,Europe
2342,Bhutan,BTN,Asia
2521,Micronesia (Federated States of),FSM,Oceania
2612,Gabon,GAB,Africa
2722,Liberia,LBR,Africa
2827,Namibia,NAM,Africa
2958,Ireland,IRL,Europe
2973,Luxembourg,LUX,Europe
3011,"Palestine, State of",PSE,Asia
3256,Cambodia,KHM,Asia
3300,Korea (the Democratic People's Republic of),PRK,Asia
3451,Eswatini,SWZ,Africa
3505,Sao Tome and Principe,STP,Africa
3579,Turks and Caicos Islands (the),TCA,Americas
3865,Germany,DEU,Europe
4042,Belarus,BLR,Europe
4211,Finland,FIN,Europe
4340,Georgia,GEO,Asia
4416,Marshall Islands (the),MHL,Oceania
4467,Kyrgyzstan,KGZ,Asia
4513,Lithuania,LTU,Europe
4551,Russian Federation (the),RUS,Europe
4557,Eritrea,ERI,Africa
4569,Macedonia (the former Yugoslav Republic of),MKD,Europe
4621,Kazakhstan,KAZ,Asia
4629,Macao,MAC,Asia
4749,Virgin Island (U.S.),VIR,Americas
4901,Yemen,YEM,Asia
4908,Uzbekistan,UZB,Asia
4913,Serbia Montenegro,SCG,Europe
4919,Tajikistan,TJK,Asia
4925,Ukraine,UKR,Europe
4986,Turkmenistan,TKM,Asia
5088,Azerbaijan,AZE,Asia
5234,Armenia,ARM,Asia
5335,Brunei Darussalam,BRN,Asia
5358,Moldova (the Republic of),MDA,Europe
5601,Czech Republic (the),CZE,Europe
5624,French Guiana,GUF,Americas
5629,Croatia,HRV,Europe
5812,Kuwait,KWT,Asia
6152,Virgin Island (British),VGB,Americas
6205,Slovakia,SVK,Europe
6206,Seychelles,SYC,Africa
6312,Slovenia,SVN,Europe
6424,Bosnia and Herzegovina,BIH,Europe
6762,Latvia,LVA,Europe
7092,Singapore,SGP,Asia
7660,Cayman Islands (the),CYM,Americas
8119,"Saint Helena, Ascension and Tristan da Cunha",SHN,Africa
8210,Timor-Leste,TLS,Asia
8432,Northern Mariana Islands (the),MNP,Oceania
8803,Equatorial Guinea,GNQ,Africa
8862,Estonia,EST,Europe
11046,Montenegro,MNE,Europe
11048,Serbia,SRB,Europe
11062,South Sudan,SSD,Africa
12564,Palau,PLW,Oceania
13880,United Arab Emirates (the),ARE,Asia
14514,Qatar,QAT,Asia
14740,Saint Barthélemy,BLM,Americas
14789,Saint Martin (French Part),MAF,Americas
14790,Sint Maarten (Dutch part),SXM,Americas
15488,Isle of Man,IMN,Europe
