,DisasterId,DisasterSubgroup,DisasterType,Event Name,Origin
216,1905,Meteorological,Storm,Amanda,
217,1917,Meteorological,Storm,Iris ,
218,1964,Meteorological,Storm,Carlotta,
219,1965,Meteorological,Storm,Wendy,
220,1966,Meteorological,Storm,Gail,
221,1992,Meteorological,Storm,June,
222,1996,Geophysical,Volcanic activity,Mt. Nyiragongo,
223,2010,Meteorological,Storm, Elaine,
224,2016,Meteorological,Storm,Frederic,
225,2035,Meteorological,Storm,David & Federick,
226,2036,Meteorological,Storm,David & Frederick,
227,2042,Meteorological,Storm,Meli,
228,2043,Geophysical,Earthquake,,Landslide
229,2047,Meteorological,Storm,Hope,
230,2048,Meteorological,Storm,Mac,
231,2066,Meteorological,Storm,Allen,
232,2069,Meteorological,Storm,Joe,
233,2084,Meteorological,Storm,Wally,
234,2115,Hydrological,Flood,,Heavy rain
235,2118,Meteorological,Storm,Daman,
236,2132,Meteorological,Storm,Arthur,
237,2144,Meteorological,Storm,Dominic,
238,2165,Meteorological,Storm,Beryl,
239,2167,Meteorological,Storm,Alberto,
240,2228,Meteorological,Storm,Elinah,
241,2242,Meteorological,Storm,Oscar,
242,2257,Geophysical,Volcanic activity,Santiaquito,
243,2288,Meteorological,Storm,Ike,
244,2292,Geophysical,Volcanic activity,Volcanic lake Monoum,
245,2299,Meteorological,Storm,Klaus,
246,2301,Meteorological,Storm,Hortense,
247,2314,Geophysical,Volcanic activity,Zaltenango,
248,2316,Geophysical,Volcanic activity,Nevado Del Ruiz,
249,2365,Meteorological,Storm,"Hurricane ""Kate""",
250,2380,Meteorological,Storm,"Eric, Nigel, Odette",
251,2381,Meteorological,Storm,Gavin,
252,2391,Meteorological,Storm,Tess,
253,2396,Meteorological,Storm,Winifred,
254,2425,Meteorological,Storm,Peggy,
255,2434,Geophysical,Volcanic activity,Lake Nyos,
256,2444,Meteorological,Storm,Rajah,
257,2453,Meteorological,Storm,Wayne,
258,2472,Meteorological,Storm,Emily,
259,2495,Meteorological,Storm,Gerald,
260,2502,Meteorological,Storm,Sally,
261,2506,Meteorological,Storm,Jan,
262,2532,Geophysical,Volcanic activity,Pacayo,
263,2536,Meteorological,Storm,Lynn,
264,2555,Meteorological,Storm,04B,
265,2572,Geophysical,Volcanic activity,Lonquimay,
266,2583,Meteorological,Storm,Bill (n°7),
267,2594,Meteorological,Storm,Joan,
268,2599,Meteorological,Storm,Gilbert,
269,2612,Hydrological,Flood,,Brief torrential rains
270,2634,Meteorological,Storm,Angele,
271,2645,Meteorological,Storm,(Atang),
272,2646,Meteorological,Storm,(Heling),
273,2647,Meteorological,Storm,Elaine (Miding),
274,2648,Meteorological,Storm,(Weling),
275,2649,Meteorological,Storm,(Yaning),
276,2650,Meteorological,Storm,(Garding),
277,2656,Geophysical,Earthquake,,Earthquake and landslide
278,2664,Geophysical,Volcanic activity,Mt. Sinila,
279,2685,Geophysical,Volcanic activity,Mt. Etna,
280,2688,Meteorological,Storm,Tip,
281,2700,Meteorological,Storm,Celine,
282,2701,Meteorological,Storm,Claudette,
283,2710,Meteorological,Storm,Cecil,
284,2711,Meteorological,Storm,Irving,
